"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Pulmonary and thoracic complications","Complication following respiratory tract stent implantation,","16.50.20","J95.8","Other postprocedural respiratory disorders",,"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","J95.81, J95.82, J95.83, J95.84, J95.85","Other postoperative complication","519.8",
"Pulmonary and thoracic complications","Intraprocedural phrenic nerve injury (paralysed diaphragm),","15.80.90","J98.6","Disorders of diaphragm",,"J98.6","Disorders of diaphragm",,"Phrenic nerve injury/paralyzed diaphragm","519.4",
"Pulmonary and thoracic complications","Intraprocedural recurrent laryngeal nerve injury (palsy),","15.80.93","G52.2","Disorders of vagus nerve","T81.2","G52.2","Disorders of vagus nerve",,"Recurrent laryngeal nerve injury/paralyzed vocal cord","352.3","998.2"
"Pulmonary and thoracic complications","Postprocedural Horner’s syndrome,","15.80.94","G90.2","Horner syndrome","T81.2","G90.2","Horner's syndrome",,"Other postoperative complication","337.9","998.2"
"Renal, gastrointestinal and neurological complications","Postprocedural renal failure,","15.82.00","N99.0","Postprocedural renal failure",,"N99.89","Other intraoperative and postprocedural disorder of genitourinary system","N19, N17.0, N17.1, N17.2, N17.8, N17.9","Other postoperative complication","997.5",
"Renal, gastrointestinal and neurological complications","Renal failure requiring temporary dialysis,","15.82.06","N99.0","Postprocedural renal failure",,"N99.89","Other intraoperative and postprocedural disorder of genitourinary system","N19, N17.0, N17.1, N17.2, N17.8, N17.9","Acute renal failure requiring temporary dialysis","997.5",
"Renal, gastrointestinal and neurological complications","Renal failure requiring permanent dialysis,","15.82.07","N99.0","Postprocedural renal failure",,"N99.89","Other intraoperative and postprocedural disorder of genitourinary system","N19, N17.0, N17.1, N17.2, N17.8, N17.9","Acute renal failure requiring permanent dialysis","997.5",
"Renal, gastrointestinal and neurological complications","Postprocedural gastrointestinal bleeding,","15.82.21","K92.2","Gastrointestinal haemorrhage, unspecified","Y83.8","K92.2","Gastrointestinal haemorrhage, unspecified",,"Other postoperative complication","578.9","997.4"
"Renal, gastrointestinal and neurological complications","Postprocedural inability to sustain gastric feeding,","15.82.23","K91.8","Other postprocedural disorders of digestive system, not elsewhere classified",,"K91.89","Other intraoperative and postprocedural disorders of digestive system, not elsewhere classified","K91.81, K91.82, K91.83, K91.84","Other postoperative complication","997.4",
"Renal, gastrointestinal and neurological complications","Postprocedural feeding difficulties,","15.82.38","K91.8","Other postprocedural disorders of digestive system, not elsewhere classified",,"K91.89","Other intraoperative and postprocedural disorders of digestive system, not elsewhere classified","K91.81, K91.82, K91.83, K91.84","Other postoperative complication","997.4",
"Renal, gastrointestinal and neurological complications","Postprocedural intestinal obstruction,","15.82.28","K91.3","Postoperative intestinal obstruction",,"K91.89","Other intraoperative and postprocedural disorders of digestive system, not elsewhere classified","K56.6","Other postoperative complication","997.4",
"Renal, gastrointestinal and neurological complications","Postprocedural necrotising enterocolitis,","15.82.30","Y83.8","Other surgical procedures",,"Y83.8","Other surgical procedures",,"Other postoperative complication","997.4","K55.0"
"Renal, gastrointestinal and neurological complications","Postprocedural peritonitis,","15.82.29","K65.0","Acute peritonitis","Y83.8","K65.9","Peritonitis, unspecified","K65.11, K65.3","Other postoperative complication","567.9","997.4"
"Renal, gastrointestinal and neurological complications","Pseudomembranous colitis,","15.82.32","A04.7","Enterocolitis due to Clostridium difficile",,"A04.7","Enterocolitis due to Clostridioides [Clostridium] difficile",,"Other postoperative complication","8.4",
"Renal, gastrointestinal and neurological complications","Postprocedural protein losing enteropathy,","15.82.33","K90.4","Malabsorption due to intolerance, not elsewhere classified","Y83.8","K90.4","Malabsorption due to intolerance, not elsewhere classified",,"Other postoperative complication","579.8","E878.8"
"Renal, gastrointestinal and neurological complications","Postprocedural hepatic impairment,","15.82.43","K72.0","Acute and subacute hepatic failure","Y83.8","K72.0","Acute and subacute hepatic failure",,"Other postoperative complication","997.4",
"Renal, gastrointestinal and neurological complications","Postprocedural acute pancreatitis,","15.82.47","K85",,"Y83.8",,,,"Other postoperative complication","577.0","997.4"
"Renal, gastrointestinal and neurological complications","Neurological complication after cardiac procedure,","15.82.50","G97.9","Postprocedural disorder of nervous system, unspecified",,"G97.9","Intraoperative and postprocedural disorder of nervous system, unspecified",,"Other postoperative complication","997.0",
"Renal, gastrointestinal and neurological complications","Postprocedural new onset seizures,","15.82.67","G40.9","Epilepsy, unspecified","Y83.8","G40.90","Epilepsy, unspecified, without mention of intractable epilepsy","G40.91","Postoperative new onset seizures","345.9","997.0"
"Renal, gastrointestinal and neurological complications","Postprocedural generalised seizures,","15.82.51","G40.3","Generalized idiopathic epilepsy and epileptic syndromes","Y83.8","G40.30","Generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy","G40.31","Postoperative new onset seizures","345.1","997.0"
"Renal, gastrointestinal and neurological complications","Postprocedural temporary neurological impairment,","15.82.53","G97.8","Other postprocedural disorders of nervous system",,"G97.8","Other intraoperative and postprocedural disorders of nervous system",,"Postoperative neurological deficit - transient","997.0",
"Renal, gastrointestinal and neurological complications","Postprocedural permanent neurological impairment,","15.82.57","G97.8","Other postprocedural disorders of nervous system",,"G97.8","Other intraoperative and postprocedural disorders of nervous system",,"Postoperative neurological deficit persisting at discharge","997.0",
"Renal, gastrointestinal and neurological complications","Postprocedural neurological impairment persisting at discharge,","15.82.68","G97.8","Other postprocedural disorders of nervous system",,"G97.8","Other intraoperative and postprocedural disorders of nervous system",,"Postoperative neurological deficit persisting at discharge","997.0",
"Renal, gastrointestinal and neurological complications","Postprocedural brain death,","15.82.64","G97.8","Other postprocedural disorders of nervous system",,"G97.8","Other intraoperative and postprocedural disorders of nervous system",,"Other postoperative complication","997.0",
"Renal, gastrointestinal and neurological complications","Postprocedural cerebral abscess,","15.82.66","G06.0","Intracranial abscess and granuloma","Y83.8","G06.0","Intracranial abscess and granuloma",,"Other postoperative complication","324.0","997.0"
"Renal, gastrointestinal and neurological complications","Postprocedural cerebral abnormality on imaging,","15.82.81","G97.8","Other postprocedural disorders of nervous system","R90.8","G97.8","Other intraoperative and postprocedural disorders of nervous system",,"Other postoperative complication","997.0","793"
"Renal, gastrointestinal and neurological complications","Brain abscess,","14.03.40","G06.0","Intracranial abscess and granuloma",,"G06.0","Intracranial abscess and granuloma",,,"324.0",
"Wound and pericardial complications","Median sternotomy complication,","15.03.00","T81.9","Unspecified complication of procedure",,"T81.9","Unspecified complication of procedure",,"Other postoperative complication","998.9",
"Wound and pericardial complications","Infection of median sternotomy wound,","15.03.03","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified",,"Other postoperative complication","998.5",
"Wound and pericardial complications","Keloid-hypertrophic scar of median sternotomy wound,","15.03.15","L91.0","Hypertrophic scar",,"L91.00","Hypertrophic scar, unspecified cause","L91.09, L91.01","Other postoperative complication","701.4",
"Wound and pericardial complications","Dehiscence of median sternotomy wound,","15.03.08","T81.3","Disruption of operation wound, not elsewhere classified",,"T81.3","Disruption of operation wound, not elsewhere classified",,"Sternal dehiscence","998.3",
"Wound and pericardial complications","Lateral thoracotomy complication,","15.03.30","T81.9","Unspecified complication of procedure",,"T81.9","Unspecified complication of procedure",,"Other postoperative complication","998.9",
"Wound and pericardial complications","Infection of lateral thoracotomy wound,","15.03.32","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified",,"Other postoperative complication","998.5",
"Wound and pericardial complications","Wound related complication,","15.67.38","T81.9","Unspecified complication of procedure",,"T81.9","Unspecified complication of procedure",,"Other postoperative complication","998.9",
"Wound and pericardial complications","Wound dehiscence,","15.03.51","T81.3","Disruption of operation wound, not elsewhere classified",,"T81.3","Disruption of operation wound, not elsewhere classified",,"Wound dehiscence","998.3",
"Wound and pericardial complications","Wound infection,","15.03.50","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified",,"Wound infection","998.9",
"Wound and pericardial complications","Wound infection requiring surgical intervention,","15.67.41","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified",,"Wound infection","998.9",
"Wound and pericardial complications","Mediastinitis,","15.03.52","J98.5","Diseases of mediastinum, not elsewhere classified",,"J98.5","Diseases of mediastinum, not elsewhere classified",,"Mediastinitis","519.2",
"Wound and pericardial complications","Postpericardiotomy syndrome,","10.08.11","I97.0","Postcardiotomy syndrome",,"I97.0","Postcardiotomy syndrome",,"Pericardial effusion","429.4",
"Wound and pericardial complications","Pericardial effusion requiring drainage,","15.83.00","I31.3","Pericardial effusion (noninflammatory)",,"I31.3","Pericardial effusion (noninflammatory)",,"Pericardial effusion requiring drainage","423.9",
"Wound and pericardial complications","Cardiac tamponade,","10.08.13","I31.9","Disease of pericardium, unspecified",,"I31.9","Disease of pericardium, unspecified",,"Pericardial effusion requiring drainage","423.9",
"Catheterisation and support device complications","Cardiac catheterisation complication,","15.50.00","T81.9","Unspecified complication of procedure","Y84.0","T81.9","Unspecified complication of procedure",,"Other postoperative complication","998.9","E879.0"
"Catheterisation and support device complications","Intramyocardial injection of contrast medium,","15.50.01","Y60.5","During heart catheterization",,"Y60.5","Unintentional cut, puncture, perforation or haemorrhage during heart catheterisation",,"Other postoperative complication","E870.6",
