"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Transcatheter procedures","Stent placement in arterial duct (PDA),","12.10.14",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,496,474
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal device,","12.24.04",,,,,,"PDA closure, Device",,,497,475
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal coil,","12.24.21",,,,,,"PDA closure, Device",,,498,476
"Transcatheter procedures","Arterial duct (PDA) closure with transluminal Amplatzer plug,","12.24.22",,,,,,"PDA closure, Device",,,499,477
"Transcatheter procedures","Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.19",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,500,478
"Transcatheter procedures","Balloon dilation of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","12.25.72",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,501,479
"Transcatheter procedures","Stent placement in systemic-to-pulmonary collateral artery (MAPCA(s)),","12.25.62",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,502,480
"Transcatheter procedures","Transluminal occlusion of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) with coil-device,","12.25.65",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,503,481
"Transcatheter procedures","Arteriovenous fistula occlusion,","12.25.02",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",,,504,482
"Transcatheter procedures","Venovenous collateral occlusion with device,","12.70.08",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,505,483
"Transcatheter procedures","Completion of total cavopulmonary connection (TCPC) using transcatheter inferior to superior caval vein covered stent,","12.30.60",,,,,,"completion",,,506,484
"Transcatheter procedures","Balloon dilation of systemic-to-pulmonary arterial shunt,","12.31.19",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,507,485
"Transcatheter procedures","Occlusion of systemic-to-pulmonary arterial shunt by transluminal device-embolus,","12.31.34",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,508,486
"Transcatheter procedures","Balloon dilation of cardiac conduit,","12.36.14",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,509,487
"Transcatheter procedures","Stent placement in cardiac conduit,","12.36.23",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,510,488
"Transcatheter procedures","Pericardiocentesis: percutaneous transcatheter,","12.32.43",,,,,,"Pericardial drainage procedure",,,511,489
"Transcatheter procedures","Transluminal procedure for arrhythmia,","12.35.57",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,512,490
"Transcatheter procedures","Transluminal ablation procedure for arrhythmia,","12.38.40",,,,,,"ablation",,,513,491
"Transcatheter procedures","Transluminal cryoablation procedure for arrhythmia,","12.35.46",,,,,,"ablation",,,514,492
"Transcatheter procedures","Transluminal radiofrequency ablation procedure for arrhythmia,","12.35.48",,,,,,"ablation",,,515,493
"Transcatheter procedures","Transluminal procedure for atrial arrhythmia,","12.35.82",,,,,,"ablation",,,516,494
"Transcatheter procedures","Transluminal procedure for ventricular arrhythmia,","12.35.83",,,,,,"ablation",,,517,495
"Transcatheter procedures","Transluminal ablation procedure with pulmonary vein exclusion,","12.35.84",,,,,,"ablation",,,518,496
"Transcatheter procedures","Automatic cardioverter & defibrillator (ICD) transluminal implantation,","12.42.33",,,,,,"ICD (AICD) Implantation",,,519,497
"Transcatheter procedures","Automatic cardioverter & defibrillator (ICD) transluminal removal,","12.42.35",,,,,,"ICD (AICD) ([Automatic] implantable cardioverter defibrillator) procedure",,,520,498
"Transcatheter procedures","Stent redilation,","12.45.10",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent re-dilation",,,521,499
"Transcatheter procedures","Stent placement,","12.45.11",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",,,522,500
"Transcatheter procedures","Balloon dilation,","12.45.12",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",,,523,501
"Transcatheter procedures","Balloon dilation of valve,","12.45.21",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",,,524,502
"Transcatheter procedures","Transluminal device implantation,","12.45.13",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",,,525,503
"Transcatheter procedures","Transluminal therapeutic perforation to establish interchamber and/or intervessel communication,","12.45.58",,,,,,"interchamber and/or intervessel communication)",,,526,504
"Transcatheter procedures","Transluminal implantation of valve,","12.45.15",,,,,,"of valve",,,527,505
"Transcatheter procedures","Cardiovascular catherisation occlusion procedure with coil,","12.45.14",,,,,,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",,,528,506
"Transcatheter procedures","Transluminal procedure for catheterisation complication,","12.45.30",,,,,,"Cardiovascular catheterization procedure, Therapeutic",,,529,507
"Procedure related complications","No postprocedural complications,","15.90.03",,,,,,"None",,,530,508
"Procedure related complications","Procedure related complication,","15.90.14","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Other postoperative complication","998.9",,3,3
"Procedure related complications","Postprocedural complication,","15.90.01","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Other postoperative complication","998.9",,4,4
"Procedure related complications","Complication during period of anaesthetic care,","15.90.20","T88.5","Other complications of anaesthesia",,"T88.59","Complications of anaesthesia, not elsewhere classified","Other postoperative complication","995.2",,1,1
"Procedure related complications","Medication related complication or error,","15.59.00","Y63.9","Failure in dosage during unspecified surgical and medical care",,"Y63.9","Failure in dosage during unspecified surgical and medical care","Other postoperative complication","E858.9",,1,1
"Procedure related complications","Complication related to echocardiographic procedure,","15.58.01","Y84.8","Other medical procedures",,"Y84.8","Other medical procedures as the cause of abnormal reaction, or of later complication, without mention of unintentional events at the time of the procedure","Other postoperative complication","E879.8",,1,1
"Procedure related complications","Vascular line (access) related complication,","15.88.00","Y65.8","Other specified misadventures during surgical and medical care",,"Y65.8","Other specified unintentional events during surgical and medical care","Other postoperative complication","E876.9",,1,1
"Procedure related complications","Intraoperative death,","12.33.31",,,,,,"Intraoperative death",,,531,509
"Procedure related complications","Death within 30 days of procedure,","12.33.33",,,,,,,,,532,510
"Procedure related complications","Death unrelated to cardiac procedure,","12.33.34",,,,,,,,,533,511
"Procedure related complications","Death attributable to complications following premature birth,","15.90.85",,,,,,,,,534,512
"Procedure related complications","Death attributable to complication(s) following congenital cardiac procedure,","15.90.86",,,,,,,,,535,513
"Procedure related complications","Cardiac arrest during procedure,","15.00.01","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Arrhythmia","997.1",,5,5
"Procedure related complications","Cardiac arrest following procedure,","15.00.02","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Postoperative cardiac arrest","997.1",,9,9
"Procedure related complications","Postprocedural low cardiac output,","15.00.03","I97.1","Other functional disturbances following cardiac surgery",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Postoperative low cardiac output","997.1",,10,1
"Procedure related complications","Cardiopulmonary bypass complication,","15.77.00","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","Other postoperative complication","996.1",,5,6
"Procedure related complications","Postprocedural requirement for mechanical circulatory support,","15.00.09","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Postoperative mechanical circulatory support (IABP, VAD, ECMO, or CPS)","997.1",,11,10
"Procedure related complications","Myocardial infarction following procedure,","15.00.05","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","I21","I97.89, I21.9","Multiple codes","Myocardial infarction","997.1","410",1,11
"Procedure related complications","Postprocedural hypovolaemia,","15.00.30","T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"T81.1","Shock during or resulting from a procedure, not elsewhere classified","Other postoperative complication","998",,1,1
"Procedure related complications","Arrhythmia following procedure,","15.60.02","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","I49.9","I97.89, I49.9","Multiple codes","Postoperative arrhythmia","997.1",,1,12
"Procedure related complications","Postprocedural complete atrioventricular block,","11.06.17","I44.2","Atrioventricular block, complete",,"I44.2","Atrioventricular block, complete","Arrhythmia, Heart block, Acquired","997.1",,4,4
"Procedure related complications","Procedure related complete atrioventricular block requiring temporary pacing,","11.06.32","I44.2","Atrioventricular block, complete","Y83.8","I44.2","Atrioventricular block, complete","Postoperative complete AV block requiring temporary pacemaker","997.1",,5,5
"Procedure related complications","Procedure related complete atrioventricular block requiring permanent pacemaker system,","11.06.33","I44.2","Atrioventricular block, complete","Y83.8","I44.2","Atrioventricular block, complete","Postoperative complete AV block requiring permanent pacemaker","997.1",,6,6
"Procedure related complications","Junctional ectopic tachycardia (His bundle): post-op,","11.04.12","I97.1","Other functional disturbances following cardiac surgery",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Postoperative arrhythmia","997.1",,12,2
"Procedure related complications","Postprocedural haemorrhage,","15.02.00","T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified","Postoperative bleeding","998.1",,1,1
"Procedure related complications","Postprocedural haemorrhage requiring reoperation,","15.02.65","T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified",,"T81.0","Haemorrhage and haematoma complicating a procedure, not elsewhere classified","Postoperative bleeding","998.1",,2,2
"Procedure related complications","Postprocedural coagulopathy,","15.02.03","D68.9","Coagulation defect, unspecified","Y83.8","D68.9","Coagulation defect, unspecified","Other postoperative complication","286.9","E878.8",2,2
"Procedure related complications","Postprocedural haemolysis,","15.02.07","D59.8","Other acquired haemolytic anaemias","Y83.8","D59.8","Other acquired haemolytic anaemias","Other postoperative complication","283.1","E878.8",1,1
"Procedure related complications","General systemic complication of cardiac procedure,","15.80.00","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Other postoperative complication","998.9",,6,6
"Procedure related complications","Multiple organ dysfunction syndrome (MODS),","15.80.16","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Other postoperative complication","998.9",,7,7
"Procedure related complications","Postprocedural metabolic derangement,","15.80.01","E88.9","Metabolic disorder, unspecified","Y83.8","E88.9","Metabolic disorder, unspecified","Other postoperative complication","277.9","E878.8",1,1
"Procedure related complications","Postprocedural acidosis,","15.80.15","E87.2","Acidosis","Y83.8","E87.2","Acidosis","Postoperative acidosis","276.2","E878.8",1,1
"Procedure related complications","Postprocedural septicaemia,","15.80.05","T81.4","Infection following a procedure, not elsewhere classified",,"T81.4","Wound infection following a procedure, not elsewhere classified","Postoperative septicemia","998.5",,1,1
"Procedure related complications","Capillary leak syndrome,","15.80.06","T81.8","Other complications of procedures, not elsewhere classified",,"T81.89","Other complications following a procedure, not elsewhere classified","Other postoperative complication","998.8",,8,8
"Procedure related complications","Systemic inflammatory response syndrome (SIRS),","15.80.19","T81.1","Shock during or resulting from a procedure, not elsewhere classified",,"T81.1","Shock during or resulting from a procedure, not elsewhere classified","Other postoperative complication","998",,2,2
